ID,End CTN Number,Number Of CTNs ,Packing,Start CTN Number ,Packing Update,Warehouse Date,Unique Code,Received CTNs 	
1,67,1,14,66,1,2023-12-08,EMB23XD1299L623190P-L62-P1-W1,1
2,68,1,14,67,1,2023-12-08,EMB23XD1299L623190P-L62-P1-W2,1
3,3187,1,15,3155,1,2023-12-08,EMB23XD1299L623190P-L62-P2-W3,32
4,1101,2,16,1093,1,2023-12-08,EMB23XD1299L623190P-L62-P3-W4,8
5,198,8,22,105,1,2023-12-08,EMB23XD1299L623190P-L62-P11-W5,93
6,3802,43,17,3759,1,2023-12-08,EMB23XD1299L623190P-L62-P4-W6,43
7,3885,0,18,3872,1,2023-12-08,EMB23XD1299L623190P-L62-P5-W7,13
8,946,2,19,944,1,2023-12-08,EMB23XD1299L623190P-L62-P6-W8,2
9,435,1,20,434,1,2023-12-08,EMB23XD1299L623190P-L62-P7-W9,1
10,127,45,21,0,1,2023-12-08,EMB23XD1299L623190P-L62-P10-W10,127
11,47,2,33,45,1,2023-12-08,MER23XD7256L482690P-L48-P22-W11,2
12,35,1,23,34,1,2023-12-14,EMB23XD4226L362400P-L36-P12-W12,1
13,36,1,24,35,1,2023-12-14,EMB23XD5228L372420P-L37-P13-W13,1
14,37,1,25,36,1,2023-12-14,EMB23XD15238L392530P-L39-P14-W14,1
15,38,1,26,37,1,2023-12-14,EMB23XD14240L402540P-L40-P15-W15,1
16,39,1,27,38,1,2023-12-14,EMB23XD1248L422620P-L42-P16-W16,1
17,40,1,28,39,1,2023-12-14,EMB23XD2250L432630P-L43-P17-W17,1
18,42,2,29,40,1,2023-12-14,MER23XD3252L442650P-L44-P18-W18,2
19,43,1,30,42,1,2023-12-14,EMB23XD4254L452660P-L45-P19-W19,1
20,45,1,31,43,1,2023-12-14,MER23XD6255L472680P-L47-P20-W20,1
21,45,1,32,44,1,2023-12-14,MER23XD6255L472680P-L47-P21-W21,1
22,48,1,34,47,1,2023-12-14,EMB23XD8256L492690P-L49-P23-W22,1
23,50,2,35,48,1,2023-12-14,MER23XD9257L502700P-L50-P24-W23,2
24,51,1,36,50,1,2023-12-14,EMB23XD10257L512710P-L51-P25-W24,1
25,52,1,37,51,1,2023-12-14,EMB23XD12259L532730P-L53-P26-W25,1
26,54,2,38,52,1,2023-12-14,EMB23XD13268L542830P-L54-P27-W26,2
27,56,2,39,54,1,2023-12-14,EMB23XD14268L552830P-L55-P28-W27,2
28,57,1,40,56,1,2023-12-14,EMB23XD15269L562850P-L56-P29-W28,1
29,58,1,41,57,1,2023-12-14,EMB23XD1273L572900P-L57-P30-W29,1
30,59,1,42,58,1,2023-12-14,EMB23XD1273L572900P-L57-P31-W30,1
31,60,1,43,59,1,2023-12-14,EMB23XD2273L582910P-L58-P32-W31,1
32,61,1,44,60,1,2023-12-14,EMB23XD2273L582910P-L58-P33-W32,1
33,62,1,45,61,1,2023-12-14,EMB23XD3278L592940P-L59-P34-W33,1
34,65,3,46,63,1,2023-12-14,EMB23XD4289L603040P-L60-P35-W34,3
35,66,1,47,65,1,2023-12-14,EMB23XD5289L613050P-L61-P36-W35,1
36,3696,9,49,3687,1,2023-12-14,EMB23XD4289L603044LP-L60-P38-W36,9
37,3702,6,50,3696,1,2023-12-14,EMB23XD5289L613054LP-L61-P39-W37,6
38,3714,12,51,3702,1,2023-12-14,EMB23XD4289L603044LP-L60-P40-W38,12
39,3745,31,52,3714,1,2023-12-14,EMB23XD5289L613054LP-L61-P41-W39,31
40,3751,6,53,3745,1,2023-12-14,EMB23XD4289L603044LP-L60-P42-W40,6
41,3759,8,54,3751,1,2023-12-14,EMB23XD5289L613054LP-L61-P43-W41,8
42,901,1,48,900,1,2023-12-14,MER23XD3252L442655P-L44-P37-W42,1
43,904,3,55,901,1,2023-12-14,EMB23XD4254L452665P-L45-P44-W43,3
44,905,1,56,904,1,2023-12-14,EMB23XD4254L452665P-L45-P45-W44,1
45,907,1,58,906,1,2023-12-14,MER23XD6255L472685P-L47-P47-W45,1
46,909,2,59,907,1,2023-12-14,MER23XD7256L482695P-L48-P48-W46,2
47,914,5,60,909,1,2023-12-14,EMB23XD8256L492695P-L49-P49-W47,5
48,915,1,61,914,1,2023-12-14,MER23XD9257L502705P-L50-P50-W48,1
49,906,1,57,905,1,2023-12-14,EMB23XD5254L462675P-L46-P46-W49,1
50,944,2,74,942,1,2023-12-14,EMB23XD5289L613055P-L61-P63-W50,2
51,942,1,73,941,1,2023-12-14,EMB23XD4289L603045P-L60-P62-W51,1
52,941,3,72,938,1,2023-12-14,EMB23XD3278L592945P-L59-P61-W52,3
53,938,2,71,936,1,2023-12-14,EMB23XD2273L582915P-L58-P60-W53,2
54,936,1,70,935,1,2023-12-14,EMB23XD1273L572905P-L57-P59-W54,1
55,935,4,69,931,1,2023-12-14,EMB23XD15269L562855P-L56-P58-W55,4
56,931,1,68,930,1,2023-12-14,EMB23XD14268L552835P-L55-P57-W56,1
57,917,2,62,915,1,2023-12-14,EMB23XD10257L512715P-L51-P51-W57,2
58,920,3,63,917,1,2023-12-14,EMB23XD10257L512715P-L51-P52-W58,3
59,920,3,63,917,1,2023-12-14,EMB23XD10257L512715P-L51-P52-W59,3
60,922,2,64,920,1,2023-12-14,EMB23XD9257L522725P-L52-P53-W60,2
61,922,2,64,920,1,2023-12-14,EMB23XD9257L522725P-L52-P53-W61,2
62,930,3,67,927,1,2023-12-14,EMB23XD13268L542835P-L54-P56-W62,3
63,927,1,66,926,1,2023-12-14,EMB23XD12259L532735P-L53-P55-W63,1
64,926,4,65,922,1,2023-12-14,EMB23XD12259L532735P-L53-P54-W64,4
65,402,2,75,400,1,2023-12-15,EMB23XD13242L412556P-L41-P64-W65,2
66,403,1,76,402,1,2023-12-15,EMB23XD1248L422626P-L42-P65-W66,1
67,405,2,77,403,1,2023-12-15,EMB23XD2250L432636P-L43-P66-W67,2
68,406,1,78,405,1,2023-12-15,MER23XD3252L442656P-L44-P67-W68,1
69,407,1,79,406,1,2023-12-15,EMB23XD4254L452666P-L45-P68-W69,1
70,408,1,80,407,1,2023-12-15,EMB23XD5254L462676P-L46-P69-W70,1
71,409,1,81,408,1,2023-12-15,EMB23XD5254L462676P-L46-P70-W71,1
72,410,1,82,409,1,2023-12-15,MER23XD6255L472686P-L47-P71-W72,1
73,411,1,83,410,1,2023-12-15,MER23XD7256L482696P-L48-P72-W73,1
74,412,1,84,411,1,2023-12-15,EMB23XD8256L492696P-L49-P73-W74,1
75,424,11,86,413,1,2023-12-15,EMB23XD12259L532736P-L53-P75-W75,11
76,425,1,87,424,1,2023-12-15,EMB23XD10257L512716P-L51-P76-W76,1
77,426,1,88,425,1,2023-12-15,EMB23XD9257L522726P-L52-P77-W77,1
78,427,1,89,426,1,2023-12-15,EMB23XD12259L532736P-L53-P78-W78,1
79,428,1,90,427,1,2023-12-15,EMB23XD13268L542836P-L54-P79-W79,1
80,429,1,91,428,1,2023-12-15,EMB23XD14268L552836P-L55-P80-W80,1
81,430,1,92,429,1,2023-12-15,EMB23XD15269L562856P-L56-P81-W81,1
82,431,1,93,430,1,2023-12-15,EMB23XD1273L572906P-L57-P82-W82,1
83,432,1,94,431,1,2023-12-15,EMB23XD3278L592946P-L59-P83-W83,1
84,433,1,95,432,1,2023-12-15,EMB23XD4289L603046P-L60-P84-W84,1
85,434,1,96,433,1,2023-12-15,EMB23XD5289L613056P-L61-P85-W85,1
86,413,1,85,412,1,2023-12-15,EMB23XD10257L512716P-L51-P74-W86,1
87,1,1,97,0,1,2023-12-15,RMN01016032D1L5823-L58-P86-W87,1
88,8,7,98,1,1,2023-12-15,EMB23TD12133L121597P-L12-P87-W88,7
89,10,2,99,8,1,2023-12-15,EMB23TD14135L141627P-L14-P88-W89,2
